Index	Tanggal	Kategori	Tema	Pertanyaan	Jawaban	Dasar Hukum	Editor
183038	25 Februari 2022	Tanya-SC	KUP	Mau tanya kalau saya mengajukan keberatan, lalu hasil keberatan sudah keluar dan saya tidak menyampaikan tanggapan atas hasil tsb. Apakah saya ttp bisa mengajukan banding?	wp off. Sayarat pengajuan banding sesuai Pasal 27 ayat (3) UU Nomor 28 TAHUN 2007 sttd UU HPP cuma disebutkan seperti ini, Permohonan diajukan secara tertulis dalam bahasa Indonesia dengan alasan yang jelas paling lama 3 (tiga) bulan sejak Surat Keputusan Keberatan diterima dan dilampiri dengan salinan Surat Keputusan Keberatan tersebut. Coba bisa diajukan dulu permohonannya dengan dilampiri salinan Surat Keputusan Keberatan yg akan diajukan banding.	wp off. Sayarat pengajuan banding sesuai Pasal 27 ayat (3) UU Nomor 28 TAHUN 2007 sttd UU HPP cuma disebutkan seperti ini, Permohonan diajukan secara tertulis dalam bahasa Indonesia dengan alasan yang jelas paling lama 3 (tiga) bulan sejak Surat Keputusan Keberatan diterima dan dilampiri dengan salinan Surat Keputusan Keberatan tersebut. Coba bisa diajukan dulu permohonannya dengan dilampiri salinan Surat Keputusan Keberatan yg akan diajukan banding.	RIGAR TABAH PRIMADANA
183039	24 Agustus 2022	Tanya-SC	E-Faktur	#20Q: etax 40012 saat upload nota retur di efaktur desktop penjual. pembeli ada pkp namun di kawasan berikat.	#20A: PM, Pengetikkan nomor retur oleh penjual tidak lengkap.	#20A: PM, Pengetikkan nomor retur oleh penjual tidak lengkap.	BUDIMAN CAHYADI WINARSO
183040	24 Agustus 2022	Tanya-SC	PPN	#31Q izin bertanya Mas/Mbak untuk PPN atas jasa EO dalam 1 invoice yang sama hanya di pisah untuk barang (Biaya Hotel Dll) + Jasa (Management Fee), apakah atas keseluruhan atau jasa saja?	#31A: Dijelaskan normatif terkait DPP yakni Penggantian sesuai pasal 1 UU PPN-HPP.	#31A: Dijelaskan normatif terkait DPP yakni Penggantian sesuai pasal 1 UU PPN-HPP.	BUDIMAN CAHYADI WINARSO
183041	24 Agustus 2022	Tanya-SC	PPh	#42Q: mas/mba, kalau pph atas revaluasi aktiva tetap kan dikenakan bagi WP badan, kalau WP OP yg melakukan revaluasi, apakah bisa lgsg menambah nilai harta tanpa dikenakan pph ataas revaluasi?	#42A: Untuk WP OP apabila melakukan revaluasi maka jika secara pembukuan masuk ke surplus/keuntungan atas penilaian kembali aktiva, maka dilaporkan dan akan diperhitungkan dalam SPT Tahunan. Saat ini penilaian kembali aktiva terbatas pada WP Badan sesuai pasal 1 PMK 79/2008.	#42A: Untuk WP OP apabila melakukan revaluasi maka jika secara pembukuan masuk ke surplus/keuntungan atas penilaian kembali aktiva, maka dilaporkan dan akan diperhitungkan dalam SPT Tahunan. Saat ini penilaian kembali aktiva terbatas pada WP Badan sesuai pasal 1 PMK 79/2008.	BUDIMAN CAHYADI WINARSO
183042	24 Agustus 2022	Tanya-SC	PPN	#53 Q: mau bertanya jika semisal ada PO 5.000 unit tapi customer melakukan pengambilan barang per partial hanya 500 unit/pengambilan. Jadi yang dibuatkan faktur pajak harusnya sesuai jumlah barang yang diambil atau tetap buat faktur keseluruhan PO namun total nominal barang yang sudah diambil tsb diakui sebagai DP/Uang muka?	#53A: PM, tidak ada pembayaran, hanya diambil sebagian sesuai stok/ketersediaan item. Dibuat per-penyerahan BKP/JKP; tidak menggunakan FP UM-pelunasan.	#53A: PM, tidak ada pembayaran, hanya diambil sebagian sesuai stok/ketersediaan item. Dibuat per-penyerahan BKP/JKP; tidak menggunakan FP UM-pelunasan.	BUDIMAN CAHYADI WINARSO
183043	24 Agustus 2022	Tanya-SC	KUP	#11Q : (email) SPT PPH Badan Lebih Bayar dan di Eform Sudah dicentang Restitusi dengan Metode Pengembalian Pendahuluan. SKPPKP nya sudah keluar, namun ada Selisih Nominal Pengembalian Pendahuluan karena ada Salah Penulisan SSP di Bukti Potong. 1. Saya Melakukan Pembetulan SPT PPH Badan untuk Membetulkan Kesalahan Penulisan SSP Bukti Potong, 2. Atas Pembetulan SPT PPH Badan (Point 1 diatas), apakah SKPPKP yang sudah terbit tidak Diproses lebih lanjut untuk Pengembalian Pendahuluan ?; atau 3. SKPPKP Yang sudah terbit tetap lanjut, namun untuk selisih Nominal Pengembalian Pendahuluan di proses setelah Pembetulan SPT PPH Badan (Point 1 di atas) ? mohon dibantu mas/mba	#11A: ini pengembalian pendahuluannya 17C atau 17D nya tidak dijelaskan ya mas? Boleh dijelaskan keduanya saja ya mengacu ke PMK 39/2018 stdtd PMK 209/2021. Untuk 17C WP kriteria tertentu mengacu ke pasal 8, sedangkan 17D WP persyaratan tertentu ke pasal 12. Keduanya hampir sama, jika ada selisih antara yg diajukan dengan yang di SKPPKP, dapat diajukan pengembalian dengan surat tersendiri. Format surat nya ada di lampiran PMK 209/2021 nya ya mas.	#11A: ini pengembalian pendahuluannya 17C atau 17D nya tidak dijelaskan ya mas? Boleh dijelaskan keduanya saja ya mengacu ke PMK 39/2018 stdtd PMK 209/2021. Untuk 17C WP kriteria tertentu mengacu ke pasal 8, sedangkan 17D WP persyaratan tertentu ke pasal 12. Keduanya hampir sama, jika ada selisih antara yg diajukan dengan yang di SKPPKP, dapat diajukan pengembalian dengan surat tersendiri. Format surat nya ada di lampiran PMK 209/2021 nya ya mas.	BUDIMAN CAHYADI WINARSO
183044	25 Februari 2022	Tanya-SC	Lainnya	@kring_pajak Min, kl penghasilan hanya dari trading saham saja, lapor spt pakai 1770 kan, saat mau submit eform gagal krn tdk ada lampiran rekapitulasi peredaran bruto, jdnya bagaimana ya? Penjualan saham dan dividen kan sdh isi di lampiran III. Mau isi peredaran bruto apa lagi? https://twitter.com/kj1972mail/status/1496993687976308736 === mohon bantuannya mas/mba	Halo mbak, untuk eform 1770 polos memang pada bagian unggah lampiran rekapitulasi peredaran bruto harus diisi karena merah kalo dikosongin. betul, kalo penjualan saham di bursa efek dan dividen yg bukan objek sesuai pmk-18/2021 yg setor sendiri nanti masuk penghasilan final di lampiran III. Untuk rekapitulasi peredaran brutonya apabila WP melakukan pencatatan, bisa pake format pencatatan yang ada di lampiran per-04/2009 ya mbak.	Halo mbak, untuk eform 1770 polos memang pada bagian unggah lampiran rekapitulasi peredaran bruto harus diisi karena merah kalo dikosongin. betul, kalo penjualan saham di bursa efek dan dividen yg bukan objek sesuai pmk-18/2021 yg setor sendiri nanti masuk penghasilan final di lampiran III. Untuk rekapitulasi peredaran brutonya apabila WP melakukan pencatatan, bisa pake format pencatatan yang ada di lampiran per-04/2009 ya mbak.	RIGAR TABAH PRIMADANA
183045	24 Agustus 2022	Tanya-SC	PPN	#22Q twitter. Ingin bertanya: perihal dengan diterbitkannya PMK 58 dimana jika menggunakan sistem online bahwa rekanan ditunjuk sebagai pemungut pajak dan dokumen itu dapat dipersamakan dengan faktur pajak dan bukti potong. Nah nanti pelaporan ppn masa berarti saya tidak ada lagi membuat faktur ya min? Akan tetapi tetap lapor perbulannya gitu ya? Lalu untuk pajak masukannya apakah bisa kita kreditkan? Karena itu akan ada terus potensi lebih bayar apakah seperti itu ya? https://twitter.com/Wahyudi39140912/status/1562320890029051908	#22A: Ini dari sisi penjual ya. Dijelaskan kriteria transaksi yang dipungut pihak lain, karena memang tidak semua pasti dipungut ya (misal harus liat mekanisme langsung/UP, dll). Untuk penerbitan FP standar oleh penjual tidak perlu lagi, cukup menggunakan Dokumen Lain yang dipersamakan tadi jika memang masuk kriteria PMK 58/2022. Terkait pengkreditan PM mengacu ke ketentuan umum pengkreditan ya, tidak diatur khusus.	#22A: Ini dari sisi penjual ya. Dijelaskan kriteria transaksi yang dipungut pihak lain, karena memang tidak semua pasti dipungut ya (misal harus liat mekanisme langsung/UP, dll). Untuk penerbitan FP standar oleh penjual tidak perlu lagi, cukup menggunakan Dokumen Lain yang dipersamakan tadi jika memang masuk kriteria PMK 58/2022. Terkait pengkreditan PM mengacu ke ketentuan umum pengkreditan ya, tidak diatur khusus.	BUDIMAN CAHYADI WINARSO
183046	24 Agustus 2022	Tanya-SC	E-Faktur	Q: atas pib yg ada skbppn nya. tetep dilapor. gimana lapornya? gaada ntpn nya	PIB yg mendapat fasilitas dibebaskan, tetap lapor, masuk ke dok lain PM, jenis transaksi pilih yg 3, yg tidak dikreditkan atau yg mendapat fasilitas	PIB yg mendapat fasilitas dibebaskan, tetap lapor, masuk ke dok lain PM, jenis transaksi pilih yg 3, yg tidak dikreditkan atau yg mendapat fasilitas	SUKIRNO SUSILO
183047	24 Agustus 2022	Tanya-SC	PPN	izin tanya terkait transaksi sewa ruangan, dalam hal ini pemilik badan dan penyewanya adalah Badan - UNHCR (United Nations High Commissioner for Refugees).1. Apakah dalam hal ini harus menerbitkan FP 080 untuk Badan Perwakilan Asing/Internasional, 2. apakah wajib melampirkan SKB PPN? dan 3. untuk identitas pada Faktur apakah yang diinput Nama Organisasi atau Paspor dari Org yang bertanggungjawab atas organisasi tersebut?	terkait dengan fasilitas pembebasan PPN atas penyerahan BKP/JKP oleh PKP kepada badan internasional serta pejabatnya diatur dalam PP 47 TAHUN 2020, PMK-162/PMK.03/2014 stdtd 33/PMK.03/2018, memerlukan SKB yg penerbitannya memerlukan rekomendasi dari kementerian terkait. Namun, ada beberapa kondisi yg bisa tanpa SKB	terkait dengan fasilitas pembebasan PPN atas penyerahan BKP/JKP oleh PKP kepada badan internasional serta pejabatnya diatur dalam PP 47 TAHUN 2020, PMK-162/PMK.03/2014 stdtd 33/PMK.03/2018, memerlukan SKB yg penerbitannya memerlukan rekomendasi dari kementerian terkait. Namun, ada beberapa kondisi yg bisa tanpa SKB	SUKIRNO SUSILO
183048	24 Agustus 2022	Tanya-SC	KUP	#33Q: @kring_pajak siang min, mau tanya apabila ada transaksi jasa konstruksi tapi salah potong malah kepotong pph 23 sangsinya apa ya bagi kita sebagai pemotong? Terima kasih	#33A: sanksi muncul ketika ada keterlambatan bayar ya mbak, misal transaksi itu bulan januari, artinya kan yang terutang dan seharusnya disetor adalah PPh 4(2) atas Jaskon ya, karena baru diketahui sekarang dan belum disetor, bisa dikenakan sanksi terlambat/tidak melakukan pembayaran. Berlaku juga buat SPT, dilihat apakah kesalahan pemotongan tersebut menyebabkan SPT 4(2) belum/terlambat dilaporkan ya –atau dalam hal sudah eBuni, dilihat apakah SPT masa pajak bersangkutan terlambat/belum dilaporkan.	#33A: sanksi muncul ketika ada keterlambatan bayar ya mbak, misal transaksi itu bulan januari, artinya kan yang terutang dan seharusnya disetor adalah PPh 4(2) atas Jaskon ya, karena baru diketahui sekarang dan belum disetor, bisa dikenakan sanksi terlambat/tidak melakukan pembayaran. Berlaku juga buat SPT, dilihat apakah kesalahan pemotongan tersebut menyebabkan SPT 4(2) belum/terlambat dilaporkan ya –atau dalam hal sudah eBuni, dilihat apakah SPT masa pajak bersangkutan terlambat/belum dilaporkan.	BUDIMAN CAHYADI WINARSO
183049	24 Agustus 2022	Tanya-SC	PPh	klaim asuransi atas alat berat karena kecelakaan apakah termasuk bukan objek pajak?	Penggantian atau santunan yang diterima oleh orang pribadi dari perusahaan asuransi sehubungan dengan polis asuransi kesehatan, asuransi kecelakaan, asuransi jiwa, asuransi dwiguna, dan asuransi bea siswa, bukan merupakan objek pajak. [Penjelasan pasal 4 ayat (3) huruf e UU HPP (PPh)], diluar ini, berarti objek PPh	Penggantian atau santunan yang diterima oleh orang pribadi dari perusahaan asuransi sehubungan dengan polis asuransi kesehatan, asuransi kecelakaan, asuransi jiwa, asuransi dwiguna, dan asuransi bea siswa, bukan merupakan objek pajak. [Penjelasan pasal 4 ayat (3) huruf e UU HPP (PPh)], diluar ini, berarti objek PPh	SUKIRNO SUSILO
183050	25 Februari 2022	Tanya-SC	E-Faktur	Izin tanya, metode ini utk 1 file csv hanya bisa utk 1 fp, atau bisa bbrp fp dlm sekali import ya? impor bc 4.0	Bisa untuk beberapa faktur nan, itu di ilustrasi ada dua faktur. Nanti pastiin aja pas isi skema csvnya udah masukin nsfp yg belum terpakai sesuai jumlah fakturnya yg mau diimpor.	Bisa untuk beberapa faktur nan, itu di ilustrasi ada dua faktur. Nanti pastiin aja pas isi skema csvnya udah masukin nsfp yg belum terpakai sesuai jumlah fakturnya yg mau diimpor.	RIGAR TABAH PRIMADANA
183051	24 Agustus 2022	Tanya-SC	PPh	mau tanya, apakah ada peraturan mengenai perusahaan yang mendapatkan fasilitas tertentu (misalnya seperti, tax holiday, tax allowance,dll) dilarang membagikan dividen ke luar indonesia?	terkait fasilitas PPh, tidak ditemukan aturan yg melarang pembagian dividen ke luar negeri. Namun, fasilitas PPh yg menyinggung ttg pembayaran dividen ke LN adalah Fasilitas PPh untuk Penanaman Modal di Bidang Usaha Tertentu dan/atau Daerah tertentu	terkait fasilitas PPh, tidak ditemukan aturan yg melarang pembagian dividen ke luar negeri. Namun, fasilitas PPh yg menyinggung ttg pembayaran dividen ke LN adalah Fasilitas PPh untuk Penanaman Modal di Bidang Usaha Tertentu dan/atau Daerah tertentu	SUKIRNO SUSILO
183052	24 Agustus 2022	Tanya-SC	PPh	Awalnya wp bertanya: Please confirm the number of months for which operational cost needs to be applied in the below scenario An employee Joined the organisation in the month of July 2022 i.e., on 24/07/2022 and receives his first salary for the month of July in August. In this case should the operational cost be considered for 6 months(July-December) based on date of joining as per the employment contract or 5 months (August-December) based on the month of receipt of salary income. Sudah dijawab oleh agent sebelumnya Sesuai Pasal 15 ayat (1) PP 94 Tahun 2010: Apabila perusahaan telah mengakui penghasilan yang dibayarkan kepada karyawan terutang untuk masa pajak Juli, maka pemotongan PPh Pasal 21 sudah wajib dilakukan mulai masa pajak Juli sehingga dalam kondisi ini pembayaran terutang untuk 6 bulan (Juli-Desember). Kemudian wp membalas: In our case the employment income pertains to July month so the position allowance also needs to be considered for 6 months i.e., July to December, Is my understanding correct? Please comment based on regulation PER-16/PJ/2016. Mohon bantuannya mas/mba apakah ditegaskan kembali ke Pasal 15 ayat (1) PP 94 Tahun 2010 dan pasal 21 PER-16/2016 atau gimana ya? Terima kasih.	setelah membaca riwayat email WP dg agen, WP meminta penjelasan berdasarkan PER-16/PJ/2016. Dengan demikian, kembali kita tegaskan, bahwa pasal 15 ayat 1 PP 94 th 2010 dengan pasal 21 PER-16/PJ/2016 sejalan, yang mengatur bahwa saat terutangnya PPh pasal 21 adalah saat pembayaran atau saat terutang, sedangkan saat pemotongan adalah mana yg lebih dulu diantara kedua hal tersebut.	setelah membaca riwayat email WP dg agen, WP meminta penjelasan berdasarkan PER-16/PJ/2016. Dengan demikian, kembali kita tegaskan, bahwa pasal 15 ayat 1 PP 94 th 2010 dengan pasal 21 PER-16/PJ/2016 sejalan, yang mengatur bahwa saat terutangnya PPh pasal 21 adalah saat pembayaran atau saat terutang, sedangkan saat pemotongan adalah mana yg lebih dulu diantara kedua hal tersebut.	SUKIRNO SUSILO
183053	24 Agustus 2022	Tanya-SC	PPN	Hallo min, mau tanya kalau bertransaksi dgn bendaharawan pemerintah (Sekolah Madrasah Tsanawiyah Negeri) itu id billing PPN nya menggunakan NPWP Instansi ya bukan penjual? Untuk kode jenis setorannya 910 atau 920 ya? Mohon bantuannya. Terimakasih	PMK-59/PMK.03/2022 lampiran VIII huruf A nomor 7, Instansi Pemerintah menyetor PPN atau PPN dan PPnBM yang telah dipungut ke kas negara dengan menggunakan surat setoran pajak atau sarana administrasi lain yang disamakan dengan surat setoran pajak atas nama lnstansi Pemerintah. Mengenai KJS, kembalikan ke IP, dia menggunakan dana APBN atau APBD	PMK-59/PMK.03/2022 lampiran VIII huruf A nomor 7, Instansi Pemerintah menyetor PPN atau PPN dan PPnBM yang telah dipungut ke kas negara dengan menggunakan surat setoran pajak atau sarana administrasi lain yang disamakan dengan surat setoran pajak atas nama lnstansi Pemerintah. Mengenai KJS, kembalikan ke IP, dia menggunakan dana APBN atau APBD	SUKIRNO SUSILO
183054	25 Februari 2022	Tanya-SC	PPN	Terkait barang milik SPLN, disebutkan bahwa FP diterbitkan kepada SPLN dan mendapatkan fasilitas PPN tidak dipungut. Apakah benar begitu ? Jika demikian, penerbitan FP nya bagaimana ? https://twitter.com/aodeapr/status/1496841169510486016	Coba di awal ditanya ya git, untuk pemasukan ke kawasan berikatnya dari luar daerah pabean atau dari tlddp. Apabila dari TLDDP, kita jelasin sesuai pasal 21 ayat (3a). BKP yang mendapatkan fasilitas atas pemasukan ke kawasan berikat mengakomodasi barang milik SPLN, diatur dalam PMK 65/2021 Pasal 21 Ayat (1). Dijelaskan lebih lanjut di dalam ayat (3a) termasuk Bahan Baku, Bahan Penolong, dan/atau pengemas dan alat bantu pengemas milik subjek pajak luar negeri yang ditujukan untuk diekspor dengan cara diolah atau digabung terlebih dahulu di Kawasan Berikat, sepanjang barang tetap berada dalam Kawasan Berikat sampai dengan dilakukannya ekspor. Barang dari TLDDP ke Kawasan Berikat diberikan pembebasan cukai dan/atau tidak dipungut PPN atau PPN dan PPnBM. Kewajban PKP yg menyerahkan barang: a. membuat FP yg harus dibuktikan dengan dokumen pendukung, dalam hal ini berupa SPPB, b. tidak dpt menggunakan FP gabungan, c. menyimpan dan memelihara dengan baik buku, catatan, dan dok terkait pemasukan barang. Faktur pajak dibuat dengan SPLN sebagai pembeli dan bukan dibuatkan Faktur Pajak dengan Pengusaha KB atau PDKB sebagai pembeli.	Coba di awal ditanya ya git, untuk pemasukan ke kawasan berikatnya dari luar daerah pabean atau dari tlddp. Apabila dari TLDDP, kita jelasin sesuai pasal 21 ayat (3a). BKP yang mendapatkan fasilitas atas pemasukan ke kawasan berikat mengakomodasi barang milik SPLN, diatur dalam PMK 65/2021 Pasal 21 Ayat (1). Dijelaskan lebih lanjut di dalam ayat (3a) termasuk Bahan Baku, Bahan Penolong, dan/atau pengemas dan alat bantu pengemas milik subjek pajak luar negeri yang ditujukan untuk diekspor dengan cara diolah atau digabung terlebih dahulu di Kawasan Berikat, sepanjang barang tetap berada dalam Kawasan Berikat sampai dengan dilakukannya ekspor. Barang dari TLDDP ke Kawasan Berikat diberikan pembebasan cukai dan/atau tidak dipungut PPN atau PPN dan PPnBM. Kewajban PKP yg menyerahkan barang: a. membuat FP yg harus dibuktikan dengan dokumen pendukung, dalam hal ini berupa SPPB, b. tidak dpt menggunakan FP gabungan, c. menyimpan dan memelihara dengan baik buku, catatan, dan dok terkait pemasukan barang. Faktur pajak dibuat dengan SPLN sebagai pembeli dan bukan dibuatkan Faktur Pajak dengan Pengusaha KB atau PDKB sebagai pembeli.	RIGAR TABAH PRIMADANA
183055	24 Agustus 2022	Tanya-SC	E-Faktur	kalau ada bayar PPN Jasa Luar Negeri, tp PPN itu tdk akan kita kreditkan, perlu upload d efaktur jg ngga ya	Masukin aja ke B3, dok lain PM yg tidak dikreditkan	Masukin aja ke B3, dok lain PM yg tidak dikreditkan	SUKIRNO SUSILO
183056	24 Agustus 2022	Tanya-SC	PPh	eForm pdf ketika impor NPWP nya jadi tidak sesuai.	dijelaskan sesuai petunjuk pengisian di pajak.go.id/e-form.	dijelaskan sesuai petunjuk pengisian di pajak.go.id/e-form.	BUDIMAN CAHYADI WINARSO
183057	07 Maret 2022	Tanya-SC	PPh	saya mau mengajukan sebagai SPLN, apa yg perlu dilakukan ya? (kak, syarat dan dokumen pengajuan SPLN diatur dimana ya Kak?	di awal boleh sambil ditanya mas maksudnya dia nanya ketentuan OP WNI yang jadi SPLN atau nanya cara pengajuan Surat Keterangan WNI Memenuhi Persyaratan Menjadi SPLN. Untuk OP WNI yg jadi SPLN bisa dijelaskan pasal 3 ayat (1) c PMK-18/2021. Persyaratannya kumulatif, dan disebutkan untuk Persyaratan sebagaimana dimaksud pada ayat (1) huruf c angka 4 dan angka 5 merupakan persyaratan yang harus dipenuhi. Persyaratan tertentu lainnya sebagaimana dimaksud pada ayat (1) huruf c angka 5 yaitu: a. telah menyelesaikan kewajiban perpajakan atas seluruh penghasilan yang diterima atau diperoleh selama WNI tersebut menjadi subjek pajak dalam negeri; dan b. telah memperoleh Surat Keterangan WNI Memenuhi Persyaratan Menjadi Subjek Pajak Luar Negeri yang diterbitkan oleh Direktur Jenderal Pajak. Untuk tata cara pengajuan Surat Keterangan WNI Memenuhi Persyaratan Menjadi SPLN, secara umum ada di pasal 4 PMK-18/2021nya.	di awal boleh sambil ditanya mas maksudnya dia nanya ketentuan OP WNI yang jadi SPLN atau nanya cara pengajuan Surat Keterangan WNI Memenuhi Persyaratan Menjadi SPLN. Untuk OP WNI yg jadi SPLN bisa dijelaskan pasal 3 ayat (1) c PMK-18/2021. Persyaratannya kumulatif, dan disebutkan untuk Persyaratan sebagaimana dimaksud pada ayat (1) huruf c angka 4 dan angka 5 merupakan persyaratan yang harus dipenuhi. Persyaratan tertentu lainnya sebagaimana dimaksud pada ayat (1) huruf c angka 5 yaitu: a. telah menyelesaikan kewajiban perpajakan atas seluruh penghasilan yang diterima atau diperoleh selama WNI tersebut menjadi subjek pajak dalam negeri; dan b. telah memperoleh Surat Keterangan WNI Memenuhi Persyaratan Menjadi Subjek Pajak Luar Negeri yang diterbitkan oleh Direktur Jenderal Pajak. Untuk tata cara pengajuan Surat Keterangan WNI Memenuhi Persyaratan Menjadi SPLN, secara umum ada di pasal 4 PMK-18/2021nya.	RIGAR TABAH PRIMADANA
183058	07 Maret 2022	Tanya-SC	Lainnya	kalau seperti ini errornya, knp ya? rock a feller @bayuard_ halo admin @kring_pajak ini knp error mulu ya Translate Tweet Link: https://twitter.com/bayuard_/status/1500736329075724288	Halo bang, jumat kmrin ada info untuk kendala eform badan gagal submit ini sudah diatasi dan sudah normal kembali, hanya saja beberapa wp tadi masih menyampaikan kendala ini. Bisa coba beberapa solusi atas gagal kirim SPT karena data SPT tidak valid(disesuaikan dengan jenis spt yg dilaporkan): - Di formulir 1771-V, pastikan sahamnya tidak nol rupiah, dan jumlahnya 100 persen - Centang Tarif PPh di Halaman Induk - Keterangan Data Harta, Jangan dikosongi (SPT 1770) - pastiin file nya bukan dobel, di nama file gk ada (1) - di bagian induk, klik tarif nya 31E, stlh seperti diedit dibiarin aja - centang satu tahun pajak - pastiin acrobat reader dc nya gk auto update Apabila sudah dicoba cara2 tersebut masih gak bisa, bisa minta dicoba berkala.	Halo bang, jumat kmrin ada info untuk kendala eform badan gagal submit ini sudah diatasi dan sudah normal kembali, hanya saja beberapa wp tadi masih menyampaikan kendala ini. Bisa coba beberapa solusi atas gagal kirim SPT karena data SPT tidak valid(disesuaikan dengan jenis spt yg dilaporkan): - Di formulir 1771-V, pastikan sahamnya tidak nol rupiah, dan jumlahnya 100 persen - Centang Tarif PPh di Halaman Induk - Keterangan Data Harta, Jangan dikosongi (SPT 1770) - pastiin file nya bukan dobel, di nama file gk ada (1) - di bagian induk, klik tarif nya 31E, stlh seperti diedit dibiarin aja - centang satu tahun pajak - pastiin acrobat reader dc nya gk auto update Apabila sudah dicoba cara2 tersebut masih gak bisa, bisa minta dicoba berkala.	RIGAR TABAH PRIMADANA
183059	07 Maret 2022	Tanya-SC	KUP	Email Saya ingin menanyakan apa sanksi untuk telat lapor dan telat bayar SPT PPN? Bagaimana tata cara pembayaran sanksi/dendanya? Dan kapan denda tersebut harus dibayar? Mohon aturannya. Terimakasih.	Halo mas, Untuk sanksi telat lapor spt masa PPN bisa mengacu ke pasal 7 ayat (1) UU KUP sttd UU HPP, dikenai sanksi administrasi berupa denda sebesar Rp500.000,00 (lima ratus ribu rupiah) untuk Surat Pemberitahuan Masa Pajak Pertambahan Nilai. Untuk sanksi telat bayar spt masa PPN bisa mengacu ke pasal 9 ayat (2a) UU KUP sttd UU HPP, dikenai sanksi administrasi berupa bunga sebesar tarif bunga per bulan yang ditetapkan oleh Menteri Keuangan yang dihitung dari tanggal jatuh tempo pembayaran sampai dengan tanggal pembayaran, dan dikenakan paling lama 24 (dua puluh empat) bulan serta bagian dari bulan dihitung penuh 1 (satu) bulan. Untuk pembayaran sanksinya nanti dari STP yg diterbitkan KPP, dari stp tersebut nanti bisa buat kode billing dan harus dilunasi dalam jangka waktu 1 (satu) bulan sejak tanggal diterbitkan sesuai pasal Pasal 9 ayat (3) UU KUP sttd UU HPP.	Halo mas, Untuk sanksi telat lapor spt masa PPN bisa mengacu ke pasal 7 ayat (1) UU KUP sttd UU HPP, dikenai sanksi administrasi berupa denda sebesar Rp500.000,00 (lima ratus ribu rupiah) untuk Surat Pemberitahuan Masa Pajak Pertambahan Nilai. Untuk sanksi telat bayar spt masa PPN bisa mengacu ke pasal 9 ayat (2a) UU KUP sttd UU HPP, dikenai sanksi administrasi berupa bunga sebesar tarif bunga per bulan yang ditetapkan oleh Menteri Keuangan yang dihitung dari tanggal jatuh tempo pembayaran sampai dengan tanggal pembayaran, dan dikenakan paling lama 24 (dua puluh empat) bulan serta bagian dari bulan dihitung penuh 1 (satu) bulan. Untuk pembayaran sanksinya nanti dari STP yg diterbitkan KPP, dari stp tersebut nanti bisa buat kode billing dan harus dilunasi dalam jangka waktu 1 (satu) bulan sejak tanggal diterbitkan sesuai pasal Pasal 9 ayat (3) UU KUP sttd UU HPP.	RIGAR TABAH PRIMADANA
183060	07 Maret 2022	Tanya-SC	DJP Online	Pagi. Saya mau bertanya di konfirmasi dokumen, ada kode verifikasi. Itu di isi data apa ya? Soalnya di SK PP no 23 tahun 2018 yang saya terima dari lawan transaksi. Hanya ada nomor surat, nama, NPWP, dan alamat ( dr lawan transaksi yg di terbitkan KPP ). (itu diisi apa ya Kak?)	Halo mas, ini dia mau konfirmasi dokumen suket PP 23 di layanan rumah konfirmasi dokumen djponline kan ya? Untuk kode verifikasi ini kode yang di bawah barcode cetakan suket pp 23nya mas. Ini contohnya ya mas, tetapi ini punya WP lain juga. Bisa disampaikan ke WP tanpa melampirkan gambar.	Halo mas, ini dia mau konfirmasi dokumen suket PP 23 di layanan rumah konfirmasi dokumen djponline kan ya? Untuk kode verifikasi ini kode yang di bawah barcode cetakan suket pp 23nya mas. Ini contohnya ya mas, tetapi ini punya WP lain juga. Bisa disampaikan ke WP tanpa melampirkan gambar.	RIGAR TABAH PRIMADANA
